Date,Hour,MCP (Rs/MWh)
09-09-2023,20,10000
09-09-2023,21,10000
09-09-2023,21,10000
09-09-2023,21,10000
09-09-2023,21,10000
09-09-2023,22,10000
09-09-2023,22,10000
09-09-2023,22,10000
09-09-2023,22,10000
09-09-2023,23,10000
09-09-2023,23,10000
09-09-2023,23,10000
09-09-2023,23,10000
09-09-2023,24,10000
09-09-2023,24,10000
09-09-2023,24,10000
09-09-2023,24,10000
10-09-2023,1,5770.33
10-09-2023,1,5770.12
10-09-2023,1,5484.91
10-09-2023,1,5475.21
10-09-2023,2,4800.4
10-09-2023,2,4688.76
10-09-2023,2,4500.95
10-09-2023,2,4500.48
10-09-2023,3,4010.68
10-09-2023,3,4010.15
10-09-2023,3,4246.97
10-09-2023,3,3999.89
10-09-2023,4,4542.15
10-09-2023,4,4280.32
10-09-2023,4,3930.08
10-09-2023,4,3857.42
10-09-2023,5,3857.11
10-09-2023,5,3750.87
10-09-2023,5,3800.29
10-09-2023,5,3800.95
10-09-2023,6,3200.73
10-09-2023,6,3857.03
10-09-2023,6,3857.36
10-09-2023,6,3857.44
10-09-2023,7,4500.13
10-09-2023,7,4641.95
10-09-2023,7,4846.33
10-09-2023,7,4800.78
10-09-2023,8,4250.92
10-09-2023,8,4000.84
10-09-2023,8,3731.91
10-09-2023,8,3350.81
10-09-2023,9,3048.63
10-09-2023,9,3000.49
10-09-2023,9,2948.12
10-09-2023,9,1999.99
10-09-2023,10,1999.92
10-09-2023,10,2464.44
10-09-2023,10,2499.43
10-09-2023,10,2464.46
10-09-2023,11,1999.9
10-09-2023,11,1999.84
10-09-2023,11,1999.47
10-09-2023,11,1999.45
10-09-2023,12,1999.15
10-09-2023,12,1999.18
10-09-2023,12,1999.13
10-09-2023,12,1999.15
10-09-2023,13,1700.33
10-09-2023,13,1799.93
10-09-2023,13,1874.6
10-09-2023,13,1989.57
10-09-2023,14,1989.06
10-09-2023,14,1989.38
10-09-2023,14,1999.24
10-09-2023,14,1999.39
10-09-2023,15,1999.41
10-09-2023,15,1999.67
10-09-2023,15,1999.91
10-09-2023,15,2350.63
10-09-2023,16,2350.53
10-09-2023,16,2899.07
10-09-2023,16,2899.64
10-09-2023,16,2910.16
10-09-2023,17,2800.36
10-09-2023,17,2948.06
10-09-2023,17,2948.85
10-09-2023,17,2900.59
10-09-2023,18,2810.3
10-09-2023,18,2948.21
10-09-2023,18,2948.34
10-09-2023,18,2800.99
10-09-2023,19,2199.96
10-09-2023,19,3399.05
10-09-2023,19,3857.82
10-09-2023,19,4688.66
10-09-2023,20,4750.39
10-09-2023,20,4922.24
10-09-2023,20,5000.66
10-09-2023,20,5000.71
10-09-2023,21,4900.14
10-09-2023,21,5049.09
10-09-2023,21,5300.89
10-09-2023,21,5484.3
10-09-2023,22,5400.12
10-09-2023,22,5484.2
10-09-2023,22,5484.06
10-09-2023,22,5000.72
10-09-2023,23,5049.5
10-09-2023,23,5999.78
10-09-2023,23,6009.23
10-09-2023,23,6250.81
10-09-2023,24,6250.17
10-09-2023,24,6009.42
10-09-2023,24,5999.77
10-09-2023,24,5484.68
11-09-2023,1,4688.01
11-09-2023,1,4248.02
11-09-2023,1,3930.1
11-09-2023,1,3399.2
11-09-2023,2,3300.58
11-09-2023,2,2999.45
11-09-2023,2,2899.63
11-09-2023,2,2899.69
11-09-2023,3,3000.2
11-09-2023,3,2948.32
11-09-2023,3,2999.37
11-09-2023,3,2948.14
11-09-2023,4,3000.88
11-09-2023,4,2999.12
11-09-2023,4,2948.04
11-09-2023,4,2900.78
11-09-2023,5,2948.63
11-09-2023,5,2899.98
11-09-2023,5,2899.64
11-09-2023,5,2899.83
11-09-2023,6,2763.82
11-09-2023,6,2800.6
11-09-2023,6,3250.55
11-09-2023,6,3360.32
11-09-2023,7,4500.69
11-09-2023,7,5000.02
11-09-2023,7,5500.55
11-09-2023,7,5867.94
11-09-2023,8,5750.2
11-09-2023,8,5500.98
11-09-2023,8,5000.71
11-09-2023,8,4500.3
11-09-2023,9,3857.82
11-09-2023,9,3600.4
11-09-2023,9,3450.14
11-09-2023,9,3048.78
11-09-2023,10,3450.57
11-09-2023,10,3450.45
11-09-2023,10,3450.56
11-09-2023,10,3399.61
11-09-2023,11,2948.78
11-09-2023,11,2806.83
11-09-2023,11,2499.82
11-09-2023,11,2499.18
11-09-2023,12,1999.76
11-09-2023,12,1999.05
11-09-2023,12,1989.92
11-09-2023,12,1999.01
11-09-2023,13,1501
11-09-2023,13,1500.97
11-09-2023,13,1647.05
11-09-2023,13,1989.07
11-09-2023,14,1500.94
11-09-2023,14,1999.02
11-09-2023,14,1999.74
11-09-2023,14,2781.14
11-09-2023,15,2948.26
11-09-2023,15,3300.99
11-09-2023,15,3731.83
11-09-2023,15,3857.21
11-09-2023,16,4500.72
11-09-2023,16,4012.76
11-09-2023,16,5475.51
11-09-2023,16,5717.9
11-09-2023,17,5757.29
11-09-2023,17,5981.35
11-09-2023,17,6211.05
11-09-2023,17,6057.42
11-09-2023,18,5649.33
11-09-2023,18,5826.39
11-09-2023,18,5919.34
11-09-2023,18,5919.69
11-09-2023,19,5544.8
11-09-2023,19,6000.38
